,context,triplets
216,The United Nations has imposed an arms embargo on South Sudan in an effort to prevent further violence against civilians.,<triplet> Arms embargo <subj> Further violence <obj> prevent
217,The government launched a new initiative to promote economic growth and job creation.,<triplet> launched <subj> promote <obj> intend
218,"The government has implemented a series of measures to prevent the illegal trafficking of wildlife, including increased inspections and penalties.",<triplet> Inspections <subj> illegal trafficking of wildlife <obj> prevent
219,The United States passed a law to increase funding for renewable energy sources in an effort to reduce greenhouse gas emissions.,<triplet> passed <subj> reduce <obj> intend
220,The United States has imposed economic sanctions on Venezuela in an effort to prevent the country from destabilizing the region.,<triplet> Economic sanctions <subj> destabilizing <obj> prevent
221,The government has implemented a series of reforms to promote access to healthcare and reduce health disparities.,<triplet> promote <subj> reduce <obj> intend
222,"These clumps of amyloid are deposited in tissues and vital organs and interfere with normal organ function, eventually causing organ deterioration.16,17 AL amyloidosis is the most common type of systemic amyloidosis.18 It frequently affects the heart, kidneys, digestive tract, liver and nervous system.16,17 Diagnosis is often delayed, and prognosis is poor due to advanced, multi-organ, particularly cardiac, involvement.",<triplet> clumps <subj> function <obj> prevent
223,"The White House yesterday disclosed that Kuwait's ousted government has formally asked the U.S. to enforce the total trade embargo the United Nations has imposed on Iraq, allowing the U.S. and other nations to immediately begin stopping ships carrying Iraqi goods.   ",<triplet> enforce <subj> carrying <obj> prevent
224,The government passed a new law to protect the rights of the elderly in an effort to ensure their dignity.,<triplet> passed <subj> ensure <obj> intend
225,"The sale of shares to the McAlpine family along with the recent sale of 750,000 shares of Meridian stock to Haden MacLellan Holding PLC of Surrey, England and a recent public offering have increased Meridian's net worth to $8.5 million, said William Feniger, chief executive officer of Toledo, Ohio-based Meridian. ",<triplet> sale <subj> increased <obj> cause
226,The government passed a law to increase the minimum wage in order to improve the standard of living for low-income workers.,<triplet> passed <subj> improve <obj> intend
227,The government has implemented a series of reforms to promote religious freedom and reduce discrimination.,<triplet> promote <subj> religious <obj> intend
228,"The government has taken steps to prevent the spread of terrorism, including introducing new laws to regulate the sale of weapons.",<triplet> taken steps <subj> Terrorism <obj> prevent
229,"The government passed a law to increase funding for job training programs, in an effort to reduce unemployment.",<triplet> passed <subj> reduce <obj> intend
230,"Varo Bank, using Temenos SaaS, estimates that it services customers at 25% of the total costs incurred by a traditional bank.",<triplet> SaaS <subj> bank <obj> enable
231,The government passed a law to increase access to healthcare services in an effort to reduce health disparities.,<triplet> passed <subj> reduce <obj> intend
232,"The government is introducing a new law to protect the rights of the elderly, in an effort to ensure access to quality healthcare and social services.",<triplet> introducing <subj> ensure <obj> intend
233,The government passed a law to increase access to clean water in an effort to protect the environment.,<triplet> passed <subj> protect <obj> intend
234,"The government passed a law to increase the number of job fairs, in an effort to increase employment opportunities.",<triplet> fairs <subj> employment <obj> intend
235,The United Nations has passed a resolution calling for an end to the use of incendiary weapons in any form.,<triplet> resolution <subj> end <obj> enable
236,The United States has imposed new tariffs on Chinese imports in an effort to reduce the trade deficit.,<triplet> tariffs <subj> reduce <obj> enable
237,The government has implemented a series of measures to prevent the illegal exploitation of natural resources.,<triplet> measures <subj> exploitation <obj> prevent
238,"The European Union has adopted a new set of regulations on the importation of goods, aimed at protecting domestic industries.",<triplet> regulations <subj> protecting <obj> enable
